30
7321
1 3
770.616 15.7673 1
770.614 15.7661 2
807.617 12.3191 3
842.162 8.65356 4
876.05 5.59404 5
908.355 2.37639 6
938.81 -0.444053 7
938.81 -0.444054 8
1 9
788 20 0
823.887 16.0098 1
823.887 16.0098 2
858.371 12.5176 3
890.721 8.71913 4
921.778 6.31678 5
950.841 3.23591 6
979.425 2.00105 7
979.414 1.99246 8
1 10
796 20 0
831.552 16.0429 1
831.552 16.0429 2
865.553 12.6683 3
897.644 8.94053 4
928.313 6.70798 5
957.36 3.62348 6
985.561 2.52803 7
985.549 2.51797 8
1012.24 -0.333911 9
1 10
804 20 0
839 16.1165 1
839 16.1165 2
872.923 12.7713 3
904.897 9.08486 4
935.166 6.87264 5
964.052 3.78717 6
991.901 2.56064 7
991.89 2.54966 8
1018.13 -0.28738 9
1 9
812 20 0
846.769 16.1684 1
846.769 16.1684 2
880.469 12.8417 3
912.398 9.16123 4
942.504 6.90318 5
970.826 3.84885 6
998.107 2.04027 7
998.098 2.03073 8
1 5
852 20 0
886.628 16.1624 1
886.628 16.1623 2
919.204 12.6768 3
950.931 8.97258 4
1 9
884 20 0
918.231 16.2849 1
918.229 16.2825 2
950.182 13.101 3
980.875 9.56525 4
1010 6.76075 5
1036.96 3.62788 6
1063.13 1.83007 7
1063.13 1.83007 8
1 9
892 20 0
925.982 16.4301 1
925.981 16.4295 2
957.845 13.2473 3
988.235 9.76009 4
1017.24 6.91723 5
1043.57 3.88079 6
1069.72 2.09197 7
1069.72 2.09197 8
1 9
900 20 0
933.753 16.5657 1
933.751 16.5656 2
965.492 13.3633 3
995.467 9.90753 4
1024.21 7.06701 5
1050.43 4.06234 6
1076.55 2.30443 7
1076.55 2.30443 8
1 11
916 20 0
949.298 16.6034 1
949.298 16.6034 2
980.371 13.5367 3
1009.81 10.216 4
1037.84 7.57114 5
1063.99 4.57164 6
1089.94 2.86439 7
1089.94 2.86439 8
1113.71 0.389482 9
1136.95 -0.222419 10
1 15
932 20 0
963.751 16.4524 1
963.751 16.4524 2
993.753 13.5823 3
1022.52 10.5401 4
1049.93 7.97435 5
1076.04 5.00828 6
1100.94 3.64853 7
1100.94 3.64853 8
1124.13 1.83501 9
1146.26 1.54472 10
1166.82 1.05555 11
1184.97 0.280062 12
1202.52 0.00337455 13
1202.52 0.00380703 14
1 21
940 20 0
971.566 16.4423 1
971.566 16.4423 2
1000.98 13.7903 3
1029.19 11.0741 4
1056.3 8.7718 5
1082.02 6.35034 6
1106.17 5.58262 7
1106.17 5.58262 8
1129.2 3.88815 9
1150.82 3.61103 10
1171.1 3.14541 11
1188.93 2.61228 12
1206.04 2.38599 13
1206.04 2.38696 14
1220.48 0.934681 15
1233.6 0.738183 16
1245.63 0.692993 17
1255.94 0.267753 18
1265.41 0.115434 19
1265.41 0.119447 20
1 16
1044 20 0
1070.62 16.3007 1
1070.62 16.3007 2
1095.67 14.0889 3
1118.6 11.4188 4
1141.35 9.34847 5
1162 7.25177 6
1182.17 5.95188 7
1182.17 5.95188 8
1201.09 5.0334 9
1219.37 4.06106 10
1235.55 3.71135 11
1250.13 2.72104 12
1263.3 2.69902 13
1263.3 2.6893 14
1275.07 0.899854 15
1 15
1052 20 0
1078.23 16.2299 1
1078.23 16.2299 2
1103.26 14.0366 3
1126.07 11.2859 4
1148.75 9.19788 5
1169.33 7.03734 6
1189.44 5.76331 7
1189.44 5.76331 8
1207.82 5.07853 9
1226.13 4.14244 10
1242.18 3.75091 11
1256.74 2.77345 12
1269.88 2.74525 13
1269.89 2.73343 14
1 15
1060 20 0
1086.11 16.3153 1
1086.11 16.3153 2
1111.05 14.2587 3
1133.43 11.2541 4
1155.94 9.91373 5
1176.4 7.84849 6
1196.31 6.89341 7
1196.31 6.89341 8
1214.38 6.44041 9
1232.64 5.80487 10
1248.62 5.37941 11
1263.11 4.50841 12
1276.24 4.4735 13
1276.25 4.46118 14
1 11
1108 20 0
1132.35 16.7531 1
1132.35 16.7516 2
1156.44 14.9884 3
1178.56 11.8913 4
1199.89 10.3777 5
1219.44 8.44996 6
1238.75 7.29721 7
1238.75 7.29743 8
1256.07 6.5816 9
1273.79 5.92236 10
1 9
1148 20 0
1171.62 16.8613 1
1171.62 16.8643 2
1194.29 14.492 3
1216.32 11.4116 4
1236.98 9.99773 5
1255.42 8.74405 6
1274.13 7.05204 7
1274.13 7.05204 8
1 7
132 28 0
194.162 22.0515 1
194.162 22.0516 2
254.972 17.8673 3
312.533 14.1688 4
368.407 10.3655 5
422.09 6.91379 6
1 9
204 28 0
262.329 22.4131 1
262.331 22.4121 2
320.576 17.5439 3
375.431 12.7748 4
429.432 9.36742 5
480.297 4.70704 6
528.686 1.49267 7
528.684 1.48609 8
1 8
212 28 0
269.721 22.6244 1
269.723 22.6227 2
326.78 17.8814 3
381.414 13.1846 4
434.741 10.0007 5
485.117 5.38011 6
533.265 2.37972 7
1 9
316 28 0
367.506 22.5329 1
367.506 22.5327 2
417.086 18.4387 3
